,rmsd
36975451,0.24641074405019325
36975452,0.2644981536608084
36975453,0.1959380051907925
36975454,0.17525461115621785
36975455,0.19562513967846956
36975456,0.13590588203977175
36991787,0.06353942418453758
36991788,0.5949369561389934
36991789,0.04525170230285506
36991790,0.05971585440731056
36991791,0.2750900167701587
36991792,0.08978250888493308
36991793,0.920348143105033
36991794,0.08494903266339646
36991795,0.045637401968330486
36991796,0.06266199916900468
36987706,0.0980732712647095
36987707,0.09867996347410815
36987708,0.10119841012451618
36984387,0.2182634379069771
36984388,0.21281392611303612
36984389,0.20104940566885063
36973916,0.062160411175206785
36973917,0.1413369072797291
36973918,0.10967542609858774
36973919,0.1145706720771591
37014846,0.38227159113145437
37014847,0.43906440277172265
37014848,0.4705048501415483
37014849,0.3897621130210023
37014850,0.4454880696568877
37014851,0.39979537415031324
37014852,0.4931223073065554
37014853,0.647116765478982
36991461,0.4165922487952659
36991462,0.34870334110811524
36991463,0.1756334538161064
36991464,0.15973202392054872
36991465,0.05873785148530592
36991466,0.3443670696687372
36991467,0.37971868382647056
36991468,0.3375011135031996
36991469,0.15893170514381222
36991470,0.15808055904490945
36969580,0.05848662583622983
36969581,0.07592361567485431
37016997,0.043366445846952845
37015999,0.15946766889312589
37016000,0.15909852101928582
36972482,0.33077039541021086
36972483,0.24851638820345928
36972484,0.23650277615091692
36972485,0.07099008098882595
36972486,0.24587030169311952
36972487,0.07101140722711365
36972488,0.07103796697579677
36972489,0.07109457846486132
36973802,0.11335114966554556
36973803,0.14339541247197404
37016100,0.1350847149706805
37016101,0.13194952735265836
37016102,0.09565081959528297
36974444,0.184717729477803
36968620,0.16848375066286708
36968621,0.15115466151125154
37013461,0.5973651315520455
37013462,0.6195806385865775
37013463,0.741410131850141
37013464,0.6576553616414995
37013465,1.155013532428385
37013466,1.0701619527508552
37013467,1.098839485680301
37013468,1.0871058940126868
37014214,0.2703895552582239
37014215,0.28323277177276884
37014216,0.05792864897755504
37014217,0.2162518197755736
37008313,1.129700181721394
37008314,0.709132888956688
37008315,1.1704401673048577
37008316,0.24479669439355922
37008317,0.23945819641994848
37008318,1.1464369209611838
37008319,1.1325630865871965
37010696,0.06066829576640522
37010697,0.060534641023526535
37010698,0.05318556128187314
37010699,0.053515591506231655
36982533,0.11612355332536928
36982534,0.48675596851679886
36982535,0.3584953797734205
36982536,0.3362620677420268
36982537,0.27129427312856214
36982538,0.10266630045325707
36982539,0.09821213280262357
36982540,0.27274306461880554
36982541,0.11591994599184133
36982542,0.4711139833444432
36984973,0.36723021691792573
36984974,0.37308495102069017
36984975,0.05358571976004975
37008083,0.04557244245064064
37008084,0.4751158959029757
37008085,0.17193410926899994
37008086,0.2730179621254627
37008087,0.1716017239787299
37008088,0.17763957909131722
37008089,0.07721696761306814
37008090,0.08080772099894419
37008091,0.07544006085586745
36996696,0.12294311717566855
36996697,0.12677095620076617
36996698,0.2516671491203934
36996699,0.24834104303797191
36996700,0.18369707028729715
36996701,0.16181609910539718
36996702,0.1531285257347689
36996703,0.10559748123720733
36974979,0.08617552886993653
36974980,0.08745084162142606
36991779,0.11112737483575932
36991780,0.137996109220803
36991781,0.07672956871654248
36991782,0.1017680435721582
36991783,0.11731974222081604
36991784,0.06743196128786434
36991785,0.1342715602008713
36991786,0.10374965024138258
36981550,0.1713961887638223
36981551,0.2702688998049655
36981552,0.10643581873223529
36981553,0.09396569562798306
36981554,0.1941908483243797
36981555,0.10282012320367416
36981556,0.09853433229847376
36981557,0.12171022855569374
36981558,0.2205420692658095
37016149,0.3358169854285205
37016150,0.3423170991607685
37016151,0.3695450378033167
37013076,0.12788143418914616
37013077,0.4537483747969405
37013078,0.14571953185123138
37013079,0.1935315272440373
37013080,0.13701151724959598
37013081,0.5808928985175548
37013082,0.18788507632649576
37013083,0.189824468583192
37013084,0.1301988942593508
37008698,0.18099698238266876
37008699,0.15915744464269635
37008700,0.38094387918432915
37008701,0.3153841304602364
37008702,0.3085063504143445
37008703,0.2998859482120254
37008704,0.6718518949944255
37008705,0.19421228177674507
36974389,0.12297337276689813
36974390,0.1301436056451664
37014267,0.16776139848868932
37014268,0.2564530813717429
37014269,0.08578996902200337
37014270,0.09743196359715509
37014271,0.25351037047617353
37014272,0.1885516934726092
37014273,0.21931533127017844
37009599,0.16433455542803832
37009600,0.16290934731351409
37009601,0.16499042573853015
