,difference
36975451,2.6987934521042405
36975452,-1.4599060830660164
36975453,0.7447301703010396
36975454,0.9353590964984733
36975455,2.33667305942555
36975456,-3.430353570920346
36991787,-0.39810730516910553
36991788,-0.3823246985123596
36991789,0.4005340421020769
36991790,-0.4930180720274979
36991791,-0.21741819656969597
36991792,0.4162337061897503
36991793,-2.3371097240451846
36991794,0.41581701993410647
36991795,0.4005236203091247
36991796,-0.3981114491531965
36987706,1.332800536602008e-11
36987707,-8.073650796802667e-05
36987708,-7.140450179576874e-06
36984387,2.3146609198379338
36984388,2.314730663475686
36984389,0.0
36973916,-4.317541606724262e-05
36973917,2.702194024095661e-11
36973918,-1.2974827480531133
36973919,-1.2973086385777677
37014846,1.130612582575587
37014847,0.24351845918391746
37014848,-0.9850423072022281
37014849,1.1306639786851207
37014850,1.8086002461604878
37014851,-0.9848316808138975
37014852,-0.18121320215310988
37014853,-0.8744391126092523
36991461,-0.006136273732408881
36991462,0.03965773540838313
36991463,2.537323933768235
36991464,2.523454614359352
36991465,3.12279418115331
36991466,0.039347424851015944
36991467,0.10669476922011256
36991468,0.022374884620319335
36991469,2.5370626557024565
36991470,2.5374599750021076
36969580,0.0
36969581,-2.700617683437656e-05
37015999,-0.0014871890714420744
37016000,0.0
36972482,-1.9402812150975381
36972483,-2.39049649665483
36972484,-2.3904363187457345
36972485,0.0
36972486,-2.3904976031862537
36972487,-3.8086602171435655e-05
36972488,-8.234930857917849e-05
36972489,-1.777223288641278
36973802,1.510361856002362
36973803,0.0
37016100,-0.000615051481872797
37016101,7.52876871956687e-09
37016102,1.4509074564924447
36968620,0.762801891126955
36968621,0.0
37014214,-0.28935143067579006
37014215,-0.2893331455416046
37014216,0.8162464981059223
37014217,0.02968980306795288
37008313,-1.3154589389687035
37008314,-2.105809992652607
37008315,-1.3154586998085847
37008316,-1.6855774447321892e-05
37008317,6.054601264793291e-11
37008318,-1.3157471480814344
37008319,-1.3157439485780358
37010696,-6.490281654625285e-05
37010697,0.0
37010698,1.5936820929198703
37010699,1.5935569034368129
36982533,0.0
36982534,-0.9436169938125012
36982535,-1.1047569965845518
36982536,-1.1051399383348794
36982537,-0.5074557059509281
36982538,-8.081625463063347e-06
36982539,-0.00026058474884393945
36982540,-0.5074744589472608
36982541,-5.7615834982982506e-06
36982542,-0.9436190569129295
36984973,0.0
36984974,-0.0002716241304092648
36984975,0.1986271899835721
37008083,-0.07393414375837892
37008084,0.5994548424201724
37008085,-0.3575839575651969
37008086,-0.5044831292022849
37008087,2.7325484097673325e-09
37008088,-0.07565050781015259
37008089,0.3076764464031072
37008090,0.30767583924267683
37008091,0.30768116975409043
36996696,0.9987733102611287
36996697,0.9987659785252845
36996698,0.5208391836023338
36996699,2.322686953148093
36996700,-1.1173684932135757
