,rmsd
36975451,0.33363220341739985
36975452,0.2652465842280325
36975453,0.22964564156009004
36975454,0.2066094991172183
36975455,0.2884123061982112
36975456,0.2414621322876975
36991787,0.08796038133883402
36991788,0.6333348528628313
36991789,0.059957909721128015
36991790,0.06749075127984462
36991791,0.3626872613043296
36991792,0.2912167912223316
36991793,0.9214507345832912
36991794,0.2940434261071821
36991795,0.0599586475017995
36991796,0.08819403594733541
36987706,0.09194931140039166
36987707,0.09147714986265676
36987708,0.09200797975215726
36984387,0.20370695777999098
36984388,0.20502349817218482
36984389,0.31503215802984663
36973916,0.15544312456271933
36973917,0.155265736594136
36973918,0.12043421808633945
36973919,0.11965373644651897
37014846,0.40838666034955345
37014847,0.44049685723757215
37014848,0.8759826360433498
37014849,0.4087650284289282
37014850,0.4479001446502771
37014851,0.8763527675192343
37014852,0.47448136479841324
37014853,0.6552735772541958
36991461,0.33882955397573683
36991462,0.2991186902084775
36991463,0.36178541789486374
36991464,0.3794901413192161
36991465,0.42673382463961895
36991466,0.29914246591972166
36991467,0.305201529471918
36991468,0.30966776920815786
36991469,0.36251176601175306
36991470,0.3630032734023099
36969580,0.076131013528372
36969581,0.07611185637236219
37016997,0.07666313203697603
37015999,0.1647479803469999
37016000,0.16585713160634769
36972482,0.3809154008703598
36972483,0.2337906700003306
36972484,0.23399843597102565
36972485,0.35372327991838043
36972486,0.23393378543638643
36972487,0.35373033373599067
36972488,0.35337522794155984
36972489,0.3352475806224577
36973802,0.10825129540078586
36973803,0.1802864906072693
37016100,0.19560521812988024
37016101,0.1415848031720397
37016102,0.07991503111576224
36974444,0.15670247562101844
36968620,0.19843099481777335
36968621,0.22174571409234317
37014214,0.26497721617248204
37014215,0.26481991077667816
37014216,0.07067508153673922
37014217,0.21515540622534554
37008313,0.2852044595816544
37008314,0.35684558457681365
37008315,0.28521362980444936
37008316,0.22281192735965336
37008317,0.22287929946748503
37008318,0.2852656076496948
37008319,0.28522924806158617
37010696,0.06240393490031118
37010697,0.06250003378245697
37010698,0.054090320168259494
37010699,0.05436392247372964
36982533,0.1380589324332023
36982534,0.45611622380213096
36982535,0.2830389077721266
36982536,0.28175608092003457
36982537,0.23733384342716488
36982538,0.13807097470923146
36982539,0.13754824503599883
36982540,0.2384847843743664
36982541,0.13802990582862795
36982542,0.4561244985384806
36984973,0.2553956879051262
36984974,0.2556759211303556
36984975,0.3171564841089751
37008083,0.23477710833103385
