,tfd
36975451,0.0674159508740241
36975452,0.11246171341490648
36975453,0.009900054792134684
36975454,0.015420425003970164
36975455,0.06753574949255801
36975456,0.10522376553967658
36991787,0.00436558405670862
36991788,0.09697569505504697
36991789,0.007498807628770987
36991790,5.465796724492445e-05
36991791,0.04505940062913653
36991792,0.02878867788159206
36991793,0.004533214092158311
36991794,0.028853902879140185
36991795,0.007544462694336645
36991796,0.0044391047385474
36987706,0.12669682042340952
36987707,0.03963791753312993
36987708,0.03980986253921999
36984387,0.020692509601310253
36984388,0.020568436337497234
36984389,0.028863395728368605
36973916,0.08832411089174722
36973917,0.08826768022308294
36973918,0.04245210797987825
36973919,0.042608723692069944
37014846,0.10762490959562768
37014847,0.22629013392259015
37014848,0.35083165682255285
37014849,0.016282307930251635
37014850,0.011714298781819036
37014851,0.35421452547826493
37014852,0.04054980175865405
37014853,0.327806612077411
36991461,0.10006693871583218
36991462,0.39663170914892404
36991463,0.48102577037755895
36991464,0.4750090604687266
36991465,0.16630344932196645
36991466,0.3963803347452592
36991467,0.12068399059853326
36991468,0.37814114091922785
36991469,0.4804401644851265
36991470,0.3875819934375378
36969580,0.020248462528403927
36969581,0.020254072364386574
37016997,0.01896121347099881
37015999,0.04940290484108608
37016000,0.049852146294313164
36972482,0.1117998022916721
36972483,0.045504457221887555
36972484,0.045502270272620576
36972485,0.11542723210881659
36972486,0.04555264336214361
36972487,0.11536994011637826
36972488,0.11529179447123909
36972489,0.11648571039879925
36973802,0.0007297270957789564
36973803,0.0010646822834500416
37016100,0.020007699319430684
37016101,0.0402469494438869
37016102,0.019392348981789986
36974444,0.14015801811257747
36968620,0.0029304634755698087
36968621,0.0017898374095503058
37013461,0.4671341099767244
37013462,0.41200636047089584
37013463,0.5040020286028749
37013464,0.46916225742608086
37013465,0.14790830278143813
37013466,0.30328954926728763
37013467,0.30221873947511063
37013468,0.29214684807000635
37014214,0.12990921884784706
37014215,0.12974292377871063
37014216,0.18113118784467036
37014217,0.052016422952641445
37008313,0.07054472195265345
37008314,0.048970516508630865
37008315,0.0705509892602516
37008316,0.06980354695467902
37008317,0.06987915082980836
37008318,0.07055523023804225
37008319,0.07053671216076482
37010696,0.000549181057410083
37010697,0.0005111172116999745
37010698,0.0014047031570516295
37010699,0.005649164768682057
36982533,0.004088889507527894
36982534,0.1738756128382196
36982535,0.025745044344327724
36982536,0.03851238420306866
36982537,0.0384647017458902
36982538,0.007681464060743432
36982539,0.004009267732640914
36982540,0.06622114748477287
36982541,0.004077718249076345
36982542,0.17387772518447664
36984973,0.4896053523783059
36984974,0.48923172493007333
36984975,0.16724313131372978
37008083,0.05627279566657747
37008084,0.14166318321901275
37008085,0.06217466130545698
37008086,0.08995447967478114
37008087,0.045141401046232606
37008088,0.05861590010580205
37008089,0.009005986024234025
37008090,0.009034027117004828
37008091,0.00902253592342225
36996696,0.02653173010065322
36996697,0.018184479773643313
36996698,0.05298670042389628
36996699,0.019121663866262763
36996700,0.010332916078135005
36996701,0.018755569283518982
36996702,0.016200035512734603
36996703,0.023818687005507017
36974979,0.013431512138741625
36974980,0.013844019606074998
36991779,0.017797930753278138
36991780,0.07455596917361698
36991781,0.05945674041965546
36991782,0.029039552625546076
36991783,0.028694293414617295
36991784,0.09251610367817534
36991785,0.07962990796024945
36991786,0.045873965621739336
36981550,0.016891854624129177
36981551,0.06805454479581648
36981552,0.03339674743370995
36981553,0.009941091043541034
36981554,0.04388502336235672
36981555,0.036293973245892376
36981556,0.03477236748868508
36981557,0.04149124953944376
36981558,0.03182798687121047
37016149,0.018403694464711857
37016150,0.026364651306306705
37016151,0.0673717379609995
37013076,0.045516012394747514
37013077,0.30292065615062186
37013078,0.03539731960414768
37013079,0.07723462071059617
37013080,0.04552042945067502
37013081,0.2853900624732518
37013082,0.04948368874602391
37013083,0.07942532276781694
37013084,0.04572403686078038
37008698,0.040038447857482305
37008699,0.05679820136824245
37008700,0.07486108842595136
37008701,0.04539597442277818
37008702,0.29009007518304064
37008703,0.04539131587720952
37008704,0.27893068810086
37008705,0.039747843687011446
36974389,0.09379353796933212
36974390,0.01646754856271683
37014267,0.020465222049479568
37014268,0.049623823344573104
37014269,0.03942761966339261
37014270,0.17959738221493673
37014271,0.0496017475031241
37014272,0.05503945255840713
37014273,0.29325952579588344
37009599,0.044549119539231574
37009600,0.04663573724679837
37009601,0.04615663427327886
37009602,0.04407374873714114
37009603,0.03552064511563665
37009604,0.04506468965528182
37009605,0.04481821698864837
37009606,0.036155289777437115
37009607,0.035792399615171354
37009608,0.03571421342489381
36999326,0.0019587174057539725
36999327,0.013722110101411852
36996073,0.012861739198889829
36996074,0.012073232259876523
36996075,0.10489694475574905
36996076,0.02019477315514307
36996077,0.0138872304237557
36996078,0.13201379203876373
36996079,0.012089339750300299
36989744,0.1188715857195106
36989745,0.029315767571745248
36989746,0.042630805825281545
36989747,0.03788810671706327
36989748,0.022682356862281036
36989749,0.06900747770765728
36989750,0.023423126431183487
36989751,0.022972731786935572
36989752,0.03519535357697284
36989753,0.03551342479322773
36983669,0.05044745988830285
36983670,0.03285965031771145
36983671,0.13540462058014363
36983672,0.04172269957204124
36983673,0.029107942770300637
36983674,0.1371326042930931
36983675,0.055920459094990604
36983676,0.04949739955602473
37011180,0.02264782009890775
37011181,0.09960737949394527
37011182,0.02811852156119807
37011183,0.02491796003730812
37011184,0.02568022885042762
37011185,0.022497101362294516
37011186,0.04004312442225125
37011187,0.07337187503609692
37011188,0.0325195120764084
37011189,0.02807281141192446
36978937,0.038798798843650645
36978938,0.011299020293565418
36978939,0.06532974054604042
36978940,0.15398949098949888
36978941,0.09247014501682245
36978942,0.009267229034754269
36978943,0.020132583340083367
36978944,0.07798843789553855
36978945,0.03936015005117206
36978946,0.03720234540952881
36981719,0.06775725744435145
36981720,0.06135520364685386
36981721,0.011153917062324095
36981722,0.054372351508049685
36981723,0.008401286397512411
36981724,0.05495681793607184
36981725,0.013643901936688175
36981726,0.01070007350989202
36981727,0.08222214943745376
36981728,0.02168364867162659
36975564,0.03429396003446444
36975565,0.09080010996860201
36975566,0.007366121551900678
36975567,0.00593437080971979
36975568,0.008655967565538438
36975569,0.026571634278311464
36975570,0.02176423611087191
36975571,0.02217032472528329
37016184,0.02734706406715912
37016185,0.007026279513836026
37016186,0.027337309294887237
37016187,0.03880159691923583
37018483,0.07828429810896094
37018484,0.07813757107780941
37018485,0.14231146437676265
37018486,0.14454652731094877
37018487,0.14458893004028603
37018488,0.1445078434401834
37006531,0.04327589278064976
37006532,0.04327494173621925
37006533,0.005882738579624179
37011426,0.03192141882754287
37011427,0.008049873597199216
37011428,0.04144197117233826
37011429,0.03168891413364497
37011430,0.00819922442199861
37011431,0.03184219279513022
37011432,0.008171540565869561
36988935,0.033979800241099235
36988936,0.026632018262291685
36988937,0.09653659321192468
36988938,0.22011138458864274
36988939,0.07908407985393234
36988940,0.021522999236076423
36988941,0.059079520975657926
36988942,0.022231604847265194
36988943,0.09150267686231084
37016398,0.006189700683277524
37016399,0.0030565178868100025
37016400,0.010910477844762324
37016401,0.017832611977674818
37016402,0.014984762792824579
37016403,0.006468987900417253
37016404,0.01875456165358105
36974877,0.7011940667778387
36974878,0.6666309597295992
37012819,0.08783703082660958
