,tfd
36975451,0.04889483136597318
36975452,0.13853139807016768
36975453,0.017647567420874838
36975454,0.015775857627722812
36975455,0.17463158492450034
36975456,0.024030291287366633
36991787,0.004114642875289039
36991788,0.11141135415404603
36991789,0.004059437136422921
36991790,5.462153535745191e-05
36991791,0.05949313348823591
36991792,0.01683414028210959
36991793,0.005045177423600604
36991794,0.0168995500623661
36991795,0.004102942477278151
36991796,0.0041881417871993025
36987706,0.1108496200256674
36987707,0.03761963464197427
36987708,0.037815924176791735
36984387,0.027144712365767404
36984388,0.027201481177085016
36984389,0.019902419871698798
36973916,0.031449035097563964
36973917,0.03141635878439522
36973918,0.024958951726762383
36973919,0.024896889440479495
37014846,0.10797889456058382
37014847,0.22763699618167893
37014848,0.32099641872229284
37014849,0.027818402879033786
37014850,0.02553376993229755
37014851,0.3229195415615853
37014852,0.033811915040619166
37014853,0.13183609019067363
36991461,0.049458529018756275
36991462,0.14539723923073175
36991463,0.20494809472762154
36991464,0.21355232609507482
36991465,0.06880162537441743
36991466,0.145144546983295
36991467,0.11066451686289398
36991468,0.1538900390118591
36991469,0.20407192476395414
36991470,0.21061259009892289
36969580,0.017902211562017534
36969581,0.017907806726806967
37016997,0.0230147602978113
37015999,0.04311460720044495
37016000,0.043563347276366106
36972482,0.09889762229014504
36972483,0.03771711426831254
36972484,0.037714982353332566
36972485,0.09901226535852105
36972486,0.037765363180524744
36972487,0.09895496776211783
36972488,0.09887686161974069
36972489,0.10666675360075545
36973802,0.0005023217065112203
36973803,0.0010317937850199113
37016100,0.022268349651308618
37016101,0.021872160011367076
37016102,0.02732203396587411
36974444,0.009414438812585387
36968620,0.003387972925999996
36968621,0.0017037177616785323
37014214,0.13657148083597342
37014215,0.13640533957745593
37014216,0.1871198060039871
37014217,0.05449954789745008
37008313,0.06411431134396114
37008314,0.0748753128342902
37008315,0.06412036839612908
37008316,0.041321869143693644
37008317,0.041397424795426165
37008318,0.06412850534999695
37008319,0.06412735537543253
37010696,0.0005492054191781044
37010697,0.000511215356068659
37010698,0.001405031750989164
37010699,0.005648544187023403
36982533,0.0039003095317033626
36982534,0.16786637816402444
36982535,0.027044681769892265
36982536,0.04043244818725602
36982537,0.036799804788253516
36982538,0.00556116531214726
36982539,0.0040042468691786175
36982540,0.06893314680964528
36982541,0.003895757211695163
36982542,0.16786820081424494
36984973,0.10316579926345577
36984974,0.10277794467893953
36984975,0.06744876571757219
37008083,0.04895420926738934
37008084,0.18452520368945438
37008085,0.04695702926005569
37008086,0.07473679750045809
37008087,0.03782327713867044
37008088,0.05129759923084313
37008089,0.03430078260821403
37008090,0.0342357866183712
37008091,0.034231494203195455
36996696,0.03442141949470873
36996697,0.017487989460959096
36996698,0.07013439926558354
36996699,0.020962170259360712
36996700,0.01869889176224694
36996701,0.017278320451017126
36996702,0.016231986202297356
36996703,0.02596714150070928
36974979,0.006682286617047321
36974980,0.007092616576045171
36991779,0.016116854661195692
36991780,0.07091709097352024
36991781,0.05823901278794004
36991782,0.03644696730692604
36991783,0.0356645465297094
36991784,0.07773962316266277
36991785,0.07453683528293295
36991786,0.04399209938896217
36981550,0.020539073050126304
36981551,0.07032057261790574
36981552,0.03634628675125725
36981553,0.01152343658516472
36981554,0.054209570610852714
36981555,0.03547834330758694
36981556,0.030760172662115396
36981557,0.041411171322594115
36981558,0.03222969686091817
37016149,0.017680946133533302
37016150,0.0288690234725729
37016151,0.06987682853801666
36974389,0.11886951714614728
36974390,0.013692317368370188
37014267,0.01996987638951287
37014268,0.053779013007412294
37014269,0.05039123257501262
37014270,0.16798849339392574
37014271,0.05371913017714619
37014272,0.04191933628982271
37014273,0.2640767637280968
37009599,0.047024684497477084
37009600,0.04731526845846749
37009601,0.04683615900108158
37009602,0.04654952026258009
37009603,0.03162844290892149
37009604,0.047539936672690554
37009605,0.04729354069401414
37009606,0.032263305393841465
37009607,0.03190061621639461
37009608,0.03182213176029656
36999326,0.003131791426512762
36999327,0.0029904761395034406
36996073,0.014446981815767005
36996074,0.014662687047053946
36996075,0.1082774417202652
36996076,0.020243659213114516
36996077,0.016228702522970026
36996078,0.1372483055028746
36996079,0.013674870276638914
36989744,0.0450576322000602
36989745,0.032806855707898715
36989746,0.03366813781307838
36989747,0.03665523596494228
36989748,0.029012643484601607
36989749,0.039144377247211044
36989750,0.03360068426837721
36989751,0.03149196184239556
36989752,0.03815363536950112
36989753,0.03276301474487905
36983669,0.055949271090211826
36983670,0.03219070555142543
36983671,0.13520918844852622
36983672,0.041372753679526274
36983673,0.027071954408900714
36983674,0.13715106008806366
36983675,0.05720132289215716
36983676,0.03652823468620854
37011180,0.016730888615601305
37011181,0.14016297680989298
37011182,0.02063363262015436
37011183,0.01445108283609807
37011184,0.020343774546868826
37011185,0.01444897858680328
37011186,0.04311300555649476
37011187,0.06791436647062678
37011188,0.020052228575426094
37011189,0.01814598757011808
36978937,0.04244804488202831
36978938,0.012219905050455606
36978939,0.03609364756747218
36978940,0.163712450729524
36978941,0.10993992124073208
36978942,0.010200798209749696
36978943,0.016525523904227513
36978944,0.06714594485558548
36978945,0.04300929569954628
36978946,0.0426564620468015
36981719,0.06761040842027558
36981720,0.08344591967439821
36981721,0.02982062096330334
36981722,0.060411590125087504
36981723,0.020238103779307313
36981724,0.06919370116672185
36981725,0.02628951377146808
36981726,0.00929988384786035
36981727,0.08386136316816875
36981728,0.011322377637053415
36975564,0.03505026273660081
36975565,0.09044935728789974
36975566,0.004187330422376967
36975567,0.005318721299156749
36975568,0.007061698659020888
36975569,0.02227661837710919
36975570,0.019344233117511368
36975571,0.01875297061265519
37016184,0.01581169610036044
37016185,0.009664807124010558
37016186,0.015801799299785264
37016187,0.029171525881993315
37018483,0.1146223075546659
37018484,0.11454986570108786
37018485,0.08022843230485656
37018486,0.07161570573702049
37018487,0.07173185969677282
37018488,0.07173260515495637
37006531,0.039651183893911625
37006532,0.0396343780643511
37006533,0.009456228128359027
37011426,0.029008024403869202
37011427,0.009126876595027745
37011428,0.03445349001360945
37011429,0.028775301845780397
37011430,0.009276249176030848
37011431,0.02892873389600632
37011432,0.009248548488248238
36988935,0.035389022536524754
36988936,0.022410591680485127
36988937,0.10437090456736499
36988938,0.2276760224125862
36988939,0.06002936601658368
36988940,0.02529882154752479
36988941,0.06710541578246096
