param    count     abs_mean      std
  a34     1090   0.11056375   2.0648
  t41      581   0.05089526   2.4589
  t27     4760   0.13871970   2.8274
  t40      800   0.01192011   2.2947
  t26      272   0.10486969   2.0599
  t24     3731   0.03641994   3.2662
 t122     9572   0.16212847   2.0228
  b71      249   0.13538032   2.3510
  t11      282   0.38455179   2.2614
  t42     1417   0.08139731   2.8613
  t34      667   0.05821072   3.0126
  t32      220   0.02614764   1.9519
  t31       85   0.14408107   1.9103
  t30       76   0.25379252   1.9715
   t5     5378   0.37345085   3.0681
 t136      480   0.80463095   2.9916
  a38      923   0.11093370   2.7959
  b53      596   0.03630942   1.9240
 t142      751   0.04795433   1.7941
   a5      756   0.16672246   2.7749
  t72     3106   0.06195899   2.8170
  t71     1241   0.13134691   4.6714
  b60       48   0.60389342   1.2018
 t124      216   0.67316672   2.4261
  t39      508   0.12024306   2.1789
  b62       27   0.09072374   3.9118
 t161      108   0.09072374   3.9118
 t163       27   0.09072374   3.9118
 t143     1169   0.58362081   2.8286
 t162       27   0.09072374   3.9118
 t151      415   0.32913783   3.0006
  a33      783   0.27291452   2.8446
  t87     2380   0.43673655   3.1317
 t135      604   0.45220538   2.4824
  b77       14   0.34362499   1.1021
  t50    77402   1.61898486   4.5196
  t33       86   0.52901425   1.1007
  t70      338   0.02746616   2.4246
 b57a      801   0.30241662   2.4830
 t154     1944   0.43966363   2.4857
  a12     2143   0.32690313   2.2545
 t153      357   0.31042742   2.0139
 t130       46   0.21392327   3.3210
 t131       32   0.43987363   2.7079
  b39       16   0.07041549   0.4146
  a27       16   0.07041549   0.4146
  t57      304   0.84351416   2.4453
  t91       25   0.31401789   1.8670
 t167      122   0.55763235   1.4068
  t92       60   0.20650800   2.0571
 t127      599   0.42031082   2.6127
  t56       68   1.63234612   3.3691
  b22     3356   0.56226881   3.2254
 t18a     2284   0.64000869   3.3633
 t19a     2096   0.67423907   3.3655
  b15      402   1.70145514   4.6275
  a24      271   0.36240144   3.0620
  t38       57   0.87187836   3.3656
  t25      201   0.49514596   7.2081
 t155       56   0.65437320   2.6407
 t156      271   0.04226186   2.4583
 t160       66   1.68966112   4.5407
 t133       10   2.03533697   1.5946
 t132      164   0.21159294   2.9617
  t37      446   0.07815688   2.0416
  b58      166   0.29593171   2.5963
 t157      475   0.24741766   2.5415
 t100       64   0.66524352   1.5653
 t101       17   0.42177729   0.7284
  t36      158   0.13339448   1.8567
  b72     2430   0.01136402   1.9387
 t48a      510   0.17534803   2.1621
  b32      404   0.02634936   1.3931
 t137      160   0.41980276   2.3943
  b73       20   0.98257466   1.7464
  t81       38   0.03419086   0.0517
  b86      227   0.71864657   2.2332
   t6      205   0.15231134   1.0296
 t104       74   0.06548113   1.8720
  b26       34   1.06670247   1.5986
  b30       69   0.19353848   1.9749
  t28       75   0.84112944   3.2348
 t128      122   0.58585849   2.2037
 t103       10   0.66605685   3.0403
 b13a      159   2.14198757   2.7324
 t87a      636   2.14198757   2.7324
  b46       62   0.30420342   1.5633
 t158       62   0.30420342   1.5633
 t141       34   1.91732729   3.0133
  t49      752   0.84607017   3.1434
  b44       10   0.30163451   2.1916
  b31       38   0.14819128   0.8043
  b33       20   0.13377723   0.2767
  a23       20   0.13377723   0.2767
 t18b       54   3.11336530   2.8052
  b45       26   0.02457524   1.8860
  t88       32   0.01803817   1.2953
  b43       21   1.13433455   1.4197
 t126       10   1.04132142   1.7020
  b76        6   0.13206256   1.1210
  t54       27   0.31770924   0.5660
  t55       39   0.09641875   0.5903
  a17        4   0.08470884   0.1641
  t65       60   0.15854558   0.4721
   t7        6   0.10914728   0.2279
 t125       11   1.21889194   1.0953
  b67       18   0.35054331   1.3931
  b54        7   0.73189413   0.5266
  t12        6   0.88233945   0.7719
  a39        6   0.20675907   0.3954
