  pid   typ      v1      v2       Δ
  b83     k  140.00  140.00    0.00
  b84   len    1.09    1.09    0.00
  b84     k  719.64  148.08 -571.56
  b85   len    1.08    1.09    0.00
  b85     k  775.39  211.68 -563.71
  b86   len    1.08    1.12    0.03
  b86     k  932.17  125.43 -806.74
  b87   len    1.02    1.02   -0.00
  b87     k  964.67  419.54 -545.13
  b88   len    0.98    0.98   -0.01
  b88     k 1069.81  630.44 -439.36
   a1   ang  110.06  104.29   -5.78
   a1     k  121.19    8.61 -112.58
   a2   ang  108.58  106.59   -1.99
   a2     k   75.08    6.66  -68.42
   a3   ang   60.85   92.59   31.74
   a3     k  122.72   31.87  -90.84
   a4   ang  116.94   96.37  -20.56
   a4     k   64.12    5.00  -59.11
   a5   ang  117.26  116.32   -0.95
   a5     k  104.49    0.00 -104.49
   a6   ang  113.97  104.39   -9.58
   a6     k   35.92    0.00  -35.92
   a7   ang   95.54  100.71    5.17
   a7     k  123.39    3.88 -119.51
   a8   ang  119.62   95.95  -23.67
   a8     k  116.37    9.38 -106.99
   a9   ang  113.55   91.03  -22.52
   a9     k  155.38    5.65 -149.73
  a10   ang  119.83  120.12    0.29
  a10     k  147.04    0.00 -147.04
  a11   ang  119.67  116.05   -3.62
  a11     k   61.76    0.00  -61.76
  a12   ang  115.91  112.16   -3.74
  a12     k   48.36   30.18  -18.18
  a13   ang  123.39  112.26  -11.13
  a13     k   94.64    4.81  -89.83
  a14   ang  124.76  113.05  -11.72
  a14     k   83.73    5.10  -78.63
  a15   ang  123.88  153.75   29.86
  a15     k  157.68   10.41 -147.28
  a16   ang  178.03  180.00    1.97
  a16     k   90.94    0.00  -90.94
  a17   ang  176.02  180.00    3.98
  a17     k   92.85   85.67   -7.18
  a18   ang  113.05   90.44  -22.61
  a18     k  229.74    6.60 -223.13
 a18a   ang  105.84   84.27  -21.57
 a18a     k  265.36    8.81 -256.55
  a19   ang  109.83  106.48   -3.35
  a19     k   93.86   37.26  -56.60
  a20   ang  119.17   93.86  -25.31
  a20     k  151.14    9.21 -141.94
  a21   ang  117.58  114.97   -2.60
  a21     k   71.15   12.97  -58.19
  a22   ang  118.77  107.17  -11.60
  a22     k  272.43   16.55 -255.88
 a22a   ang  107.46   85.24  -22.22
 a22a     k  284.62    4.81 -279.80
  a23   ang  145.09  156.22   11.13
  a23     k  150.34    0.00 -150.34
  a24   ang  115.55  119.50    3.95
  a24     k  214.95   36.60 -178.35
  a25   ang  121.08  113.73   -7.36
  a25     k  147.38   42.25 -105.13
  a26   ang  124.97  131.97    7.00
  a26     k  136.56   41.73  -94.83
  a27   ang  175.87  171.56   -4.30
  a27     k  101.88   35.60  -66.28
