param    count     abs_mean      std
  t53      263   0.55017677   2.1027
  b51     1889   0.12420364   2.7102
  a34     1090   0.11476593   2.2347
t116a     3429   0.14758306   2.7126
  t41      581   0.18671583   2.6004
  t27     4760   0.20307927   2.8087
  t40      800   0.13721819   2.4176
  t26      272   0.06185959   2.0740
  t24     3731   0.10576942   3.2589
t122c     2466   0.16637959   2.5573
  b71      249   0.09569098   2.2911
  t11      282   0.17833450   2.1643
  t42     1417   0.10779279   2.8239
  t34      667   0.21528169   2.9940
  t32      220   0.06381738   1.9765
  t31       85   0.01098132   2.1450
  t30       76   0.09348975   2.2371
   t5     5378   0.45373395   3.0445
 t136      480   0.82158659   3.0317
  a38      923   0.03688202   2.9250
  b53      596   0.08214500   2.0943
t142a      455   0.06980183   2.3142
   a5      756   0.20702980   2.8105
  t72     3106   0.05015004   2.9451
  t71     1241   0.06076352   4.6979
  b60       48   0.44324438   1.2290
 t124      216   0.00966410   2.4494
  t39      508   0.07357431   2.2434
  b62       27   0.15549234   3.9258
 t161      108   0.15549234   3.9258
 t163       27   0.15549234   3.9258
t143b     1011   0.12267426   2.8566
 t162       27   0.15549234   3.9258
 t151      415   0.38729047   3.0805
  a33      783   0.47781852   2.6993
t118a     1471   0.44218867   2.7526
t121a      294   0.13797379   2.1040
t122f      262   0.10392404   1.9861
  t87     2380   0.45857652   2.9286
 t135      604   0.37510148   2.8292
  b77       14   0.63346712   1.0970
  t50    77402   1.62225839   4.6229
t122b     6844   0.21348426   1.8595
  t33       86   0.60372718   1.1435
  t70      338   0.05776854   2.4244
 b57a      801   0.31141448   2.4051
 t154     1944   0.45557098   2.4665
  a12     2143   0.43997763   2.4031
 t153      357   0.39810914   2.1676
t130d       46   0.25879838   3.3029
 t131       32   0.42393172   2.8621
  b39       16   0.27649154   0.9244
  a27       16   0.27649154   0.9244
  t57      304   0.97941845   2.6773
  t91       25   0.51877664   1.9358
 t167      122   0.53532072   1.5277
  t92       60   0.09719471   2.4136
 t127      599   0.48899545   2.6330
  t56       68   1.92826529   3.6361
  b22     3356   0.50598498   3.3009
 t18a     2284   0.62127303   3.4852
 t19a     2096   0.62805338   3.5112
  b15      402   1.57028204   4.6294
  a24      271   0.40792991   3.0938
  t38       57   0.57004023   3.5099
  t25      201   0.72819651   7.1054
 t155       56   0.33267689   2.1310
 t156      271   0.26967861   2.0308
 t160       66   0.95298200   3.1523
 t133       10   2.39072129   1.5239
t132d      164   1.09021335   2.8680
  t37      446   0.10576539   2.0171
  b58      166   0.39137936   2.1070
t157a       46   1.03538940   2.5002
 t100       64   0.56702331   1.5318
 t101       17   0.49921777   0.8550
  t36      158   0.22794074   2.0370
  b72     2430   0.00973280   1.9373
 t48a      510   0.04567629   2.2643
 t74a      280   1.70234679   7.8397
  b32      404   0.02191934   1.4264
 t157      429   0.28779733   2.0176
 t137      160   0.28786484   2.3738
 t73a      321   0.36142511   2.6821
  b73       20   1.00166327   1.8126
t143a      122   0.47293512   1.9371
  t81       38   0.03541932   0.0538
  b86      227   0.86528721   2.3884
   t6      205   0.12813700   1.0995
 t104       74   0.09536482   1.6922
  b26       34   1.12597545   1.6661
  b30       69   0.12752721   2.0611
t143e       36   0.23696269   0.2839
t142b      296   0.15121329   1.1066
  t28       75   0.89941028   3.4455
 t128      122   0.39925967   2.2294
 t103       10   0.66099986   2.7364
 b13a      159   2.28857024   2.7854
 t87a      636   2.28857024   2.7854
  b46       62   0.08473924   1.6164
 t158       62   0.08473924   1.6164
 t141       34   1.40273620   2.3650
  t49      752   0.83753031   2.9406
  b44       10   0.14518227   2.2683
  b31       38   0.17982470   0.8676
  b33       20   0.13388321   0.2768
  a23       20   0.13388321   0.2768
 t18b       54   3.15022028   2.8251
  b45       26   0.10400976   2.0033
  t88       32   0.49614687   1.3499
  b43       21   1.26543554   1.5216
 t126       10   1.03538469   1.6933
  b76        6   0.47663450   1.1677
  t54       27   0.37044541   0.5198
  t55       39   0.05850615   0.6697
  a17        4   0.09039516   0.1485
  t65       60   0.25632588   0.5439
   t7        6   0.09392638   0.2695
 t125       11   1.47457267   1.3121
  b67       18   0.33513817   1.3211
  b54        7   0.74013945   0.5136
  t12        6   0.99504497   0.8614
  a39        6   0.21720276   0.3418
