param    count     abs mean      std
  t11      264   0.35363498   2.1595
  t42     1397   0.13817158   2.8897
  t34      667   0.04859205   3.0329
  t32      220   0.02772090   1.9510
  t31       85   0.15782728   1.9005
  t30       76   0.26778918   1.9611
   t5     5318   0.38131010   3.0762
 t136      480   0.80463095   2.9916
  a38      869   0.12720580   2.8380
  t98      893   0.81542808   2.9608
  t10     8552   0.33898904   2.3569
  b53      596   0.03222032   1.9226
 t142      751   0.04415951   1.7932
   a5      746   0.22109220   2.7927
  t72     2799   0.08769657   2.8050
  t71     1161   0.06747595   4.7528
  b60       30   0.75590349   1.0417
 t124      216   0.67316672   2.4261
  t39      508   0.12445780   2.1779
 t151      366   0.31381175   3.0416
  a33      687   0.28143834   2.7853
 t135      572   0.49520165   2.5412
 t143     1022   0.60560497   2.7480
  b77       14   0.34362499   1.1021
  t50    64470   1.85408832   4.7251
  t33       86   0.72751223   1.1421
  t70      302   0.03039286   2.3335
 b57a      252   0.07704719   2.5198
 t154      474   0.44365655   2.5133
  a12     2133   0.33729277   2.2571
 t153      357   0.31042742   2.0139
 t130       46   0.22307618   3.3091
 t131       32   0.43548787   2.7020
  b39       16   0.07041549   0.4146
  a27       16   0.07041549   0.4146
  t57      304   0.83738016   2.4475
  t91       25   0.31401789   1.8670
 t167      122   0.55763235   1.4068
  t92       42   0.58801771   2.0788
 t127      583   0.39650942   2.6287
  t56       68   1.63534974   3.3689
  b22     3286   0.56721980   3.2443
 t18a     2228   0.64446849   3.3645
 t19a     1984   0.71237428   3.4267
  t38       57   0.87187836   3.3656
  t25      201   0.49514596   7.2081
 t155       46   1.03777226   2.4786
 t156      178   0.43533614   2.3935
 t133       10   2.03533697   1.5946
 t132      164   0.21159294   2.9617
 t160       32   0.94689691   3.1761
  t37      446   0.08194837   2.0396
 t100       64   0.65428253   1.5804
 t101       17   0.42177729   0.7284
  t36      158   0.13461789   1.8574
  b58      123   0.19678822   2.3086
 t157      361   0.18483257   2.3263
  b15      375   1.71066604   4.6824
 t48a      510   0.16024205   2.1697
  b72     2384   0.00623431   1.8981
  b32      396   0.04008455   1.3776
 t137       66   0.62315799   1.8689
  b42       18   0.07005840   0.5035
  t81       20   0.00152147   0.0030
  b86      209   0.76829642   2.2903
   t6      205   0.21494683   1.0689
 t104       74   0.06548113   1.8720
  b26       34   1.06670247   1.5986
  b30       69   0.19353848   1.9749
  t28       75   0.84112944   3.2348
 t128      110   0.62232827   2.3024
 t103       10   0.66605685   3.0403
  t87     1224   0.07887752   3.1453
  b46       44   0.22548343   1.5152
 t158       44   0.22548343   1.5152
  a24       38   0.67261201   2.8068
  t49      412   0.61544843   2.8859
  b44       10   0.30163451   2.1916
  b31       38   0.14819128   0.8043
  b33       20   0.13377723   0.2767
  a23       20   0.13377723   0.2767
  b45       26   0.02457524   1.8860
  t88       32   0.01803817   1.2953
  b43       21   1.13433455   1.4197
 t126       10   1.04132142   1.7020
  b76        6   0.13206256   1.1210
  t54       27   0.31770924   0.5660
  t55       39   0.09641875   0.5903
  a17        4   0.08470884   0.1641
   t7        6   0.10914728   0.2279
 t125       11   1.21889194   1.0953
  b54        7   0.73189413   0.5266
  b73       11   1.39630757   2.1144
  t12        6   0.88233945   0.7719
  a39        6   0.20675907   0.3954
