param    count     abs_mean      std
  t60      538   1.68523564   3.4196
  t61      341   0.47882974   7.6568
  t62      682   0.47882974   7.6568
  t64   501842   0.12766973   3.3542
  t65       60   0.24468138   0.5352
  t66    20494   0.01414448   2.6153
  t67    54562   0.03879839   3.3033
  t68     1579   0.36250625   4.0414
  t69     2260   0.12601551   2.8371
  t70      338   0.02524988   2.5821
  t71     1241   0.08866777   4.7342
  t72     3106   0.06066374   2.9594
  t73    55833   0.35503798   2.8244
  t74   181406   0.15996599   3.2108
  t75   138549   0.05541100   3.1586
  t76     9914   0.23613957   2.9389
  t77    41490   0.06219352   3.2567
  t78    18519   0.20067005   3.1542
  t79    11766   0.07329375   4.7140
  t80   226218   0.06224761   2.5779
  t81       38   0.03618301   0.0549
  t82    15935   0.05796892   2.7188
 t82a       42   1.61841790   2.6633
  t83    30039   0.06169879   2.6286
 t83a     4078   0.04767523   2.4753
  t84   124975   0.09109511   3.1614
  t85    76557   0.08192431   3.1629
  t86    93592   0.02542128   2.6362
  t87     2380   0.36464243   3.1675
 t87a      636   1.74042590   2.5053
  t88       32   0.36803041   1.2808
  t90     5359   0.59983816   2.5989
  t91       25   0.23585347   1.9443
  t92       60   0.14078399   2.2911
  t93    16219   0.21529620   2.8137
  t94    16073   0.42130152   3.0220
  t95    89413   0.03257530   2.9987
  t96    20364   0.30092393   3.1005
  t97    19701   0.19321957   2.5571
  t98      911   1.03495677   2.9671
  t99      805   0.48258196   4.9353
 t100       64   0.70148255   1.6992
 t101       17   0.57766204   0.9091
 t103       10   0.30783715   2.7077
 t104       74   0.17137641   1.6466
 t105    38675   0.10781139   3.5321
 t106    12591   0.25805698   3.0903
 t107     6130   0.14898437   2.3467
 t108     4361   0.51443806   2.9606
 t109     3230   0.64357885   3.2104
 t110     5589   0.19175742   2.3255
 t111    34616   0.06954604   2.7421
 t115    17021   0.14514257   2.7141
 t116     6551   0.17194062   3.0776
 t117     9675   0.10050121   3.1795
 t118    26297   0.05906706   2.6874
