,tfd
36975451,0.7411711997431427
36975452,0.3033329928156252
36975453,0.2023747285218941
36975454,9.49636842860897e-05
36975455,0.508191422195229
36975456,0.2365164104235287
36991787,0.21400388648994162
36991788,0.17535651702077187
36991789,0.18531442944754603
36991790,0.28838545594377846
36991791,0.27677336906830124
36991792,0.31701348507260035
36991793,0.15147783997343825
36991794,0.320070184314239
36991795,0.18233714042066984
36991796,0.20713206316342195
36987706,0.7537236250135899
36987707,0.2472666504387097
36987708,0.24266947583942255
36984387,0.12266808417489533
36984388,0.14448676924862472
36984389,0.14429097055696943
36973916,0.12580285071923966
36973917,0.031590554242827265
36973918,0.062325381792757345
36973919,0.05972767666595641
37014846,0.1496608077622808
37014847,0.23964597183425534
37014848,0.21294429908366058
37014849,0.4215559719525826
37014850,0.2946186122122519
37014851,0.19679834037719762
37014852,0.22095432679027174
37014853,0.12040395786707916
36991461,0.18672559180241033
36991462,0.27935880295288934
36991463,0.4496368495633404
36991464,0.3805728491022814
36991465,0.3692943974758545
36991466,0.43346289572889224
36991467,0.22867521361421334
36991468,0.4532065224109655
36991469,0.3904979198552191
36991470,0.4659434210348673
36969580,0.19526039761755065
36969581,0.20794220082227208
37016997,0.2689717391134732
37015999,0.1206136722105662
37016000,0.13686791055113184
36972482,0.13259005877994715
36972483,0.11455566395516996
36972484,0.10328306626086926
36972485,6.378047181229986e-05
36972486,0.11568576120745498
36972487,5.097787098794543e-05
36972488,5.2491847657442714e-05
36972489,0.00022562822754868835
36973802,0.28230731633294825
36973803,0.30656132725238033
37016100,0.486725883835827
37016101,0.2970823706307059
37016102,0.4838664951771846
36974444,0.09483436921538069
36968620,0.08050573051569088
36968621,0.08813648095081318
37013461,0.3219097636562241
37013462,0.2864226056177219
37013463,0.31571295781340963
37013464,0.317223110276049
37013465,0.5568410261231961
37013466,0.37933643351418417
37013467,0.5505863193167454
37013468,0.47592113336834924
37014214,0.222105743007092
37014215,0.2593250317354837
37014216,0.42542388458791697
37014217,0.44144890984214225
37008313,0.12307815150617105
37008314,0.10873130158410596
37008315,0.12103557833267391
37008316,0.18882914999477218
37008317,0.18996613262641515
37008318,0.12052443399378703
37008319,0.12442426056175523
37010696,0.03302408220143671
37010697,5.447605270288882e-07
37010698,1.6817384730446158e-06
37010699,7.316361842373846e-06
36982533,0.18929905637380876
36982534,0.12837285630853948
36982535,0.10995299362642666
36982536,0.14516807996358427
36982537,0.34556803232141425
36982538,0.1337889650080793
36982539,0.17558833827397036
36982540,0.17973983827950846
36982541,0.17725467036147133
36982542,0.1328020807682416
36984973,0.22346218238551746
36984974,0.24186812782026867
36984975,0.27822267263838385
37008083,0.27495933878134843
37008084,0.4778694773287592
37008085,0.31818581990127587
37008086,0.3138346534541666
37008087,0.283968162126115
37008088,0.275667629154756
37008089,0.28314544318528095
37008090,0.28061068705767334
37008091,0.2798513380742981
36996696,0.10566863961663561
36996697,0.10830792792425434
36996698,0.08529061726673098
36996699,0.16516059115924506
36996700,0.21682197872791986
36996701,0.1073670233952824
36996702,0.18353781523720414
36996703,0.22813472256445103
36974979,0.17117467021889507
36974980,0.17200716842686475
36991779,0.08150907777792236
36991780,0.0794316322819803
36991781,0.05145003405134268
36991782,0.12835740532999235
36991783,0.1308231636879284
36991784,0.1520464381376299
36991785,0.09584564102922138
36991786,0.030927059492570994
