,rmsd
36975451,0.45833217627850015
36975452,0.15555075088320863
36975453,0.11473886969626045
36975454,0.13141213445422678
36975455,0.31963060606319577
36975456,0.30169740692841945
36991787,0.08759934121405502
36991788,0.6129879753835122
36991789,0.05705697652705388
36991790,0.05940589581418253
36991791,0.34325869266802983
36991792,0.2033409174699014
36991793,0.9187863698094162
36991794,0.20611796507768262
36991795,0.05705015122853139
36991796,0.08788085674680665
36987706,0.09189424810041116
36987707,0.09141383993724767
36987708,0.09195098201145546
36984387,0.13940545995933004
36984388,0.1393799202759884
36984389,0.1553286870359694
36973916,0.4802075983990748
36973917,0.4800096905358942
36973918,0.4175619756526563
36973919,0.4185715367510457
37014846,0.4428537569516194
37014847,0.4435232977256427
37014848,0.8950011399385776
37014849,0.4431745142379952
37014850,0.44529634585078925
37014851,0.8953145357521374
37014852,0.4895086590831798
37014853,0.6811606769533564
36991461,0.8313417132428257
36991462,0.888529136029509
36991463,0.7712672757435919
36991464,0.9255074928727849
36991465,1.081754245177822
36991466,0.8887188006162184
36991467,0.8447275169709735
36991468,0.8748037171941754
36991469,0.7717777946522133
36991470,0.7725873922989096
36969580,0.092954814809682
36969581,0.09293651310310223
37016997,0.08244645572776527
37015999,0.18300652922623287
37016000,0.1841014779932204
36972482,0.3772397247377396
36972483,0.23383683417933462
36972484,0.234048835749117
36972485,0.33184511949255596
36972486,0.23395732953458873
36972487,0.331861730633159
36972488,0.3315066770375527
36972489,0.30261052203161687
36973802,0.11369417975921342
36973803,0.15328658105921572
37016100,0.17498132734133048
37016101,0.21208290179368247
37016102,0.16404618760806877
36974444,0.09754884614997517
36968620,0.1847848401859704
36968621,0.15413652692297758
37013461,0.9006792633223433
37013462,0.578103264110262
37013463,0.5915250923976731
37013464,0.9004405420055053
37013465,0.9373091013018998
37013466,0.9373009094812352
37013467,0.9373128137588086
37013468,0.9373053272232887
37014214,0.26507128857120904
37014215,0.2649160406458475
37014216,0.06816430346620188
37014217,0.2153440857198364
37008313,0.36624424532137073
37008314,0.3644544594912409
37008315,0.3662613102329457
37008316,0.24913912275813319
37008317,0.24918853503031838
37008318,0.36630139098645637
37008319,0.3662661793083144
37010696,0.06197058364115161
37010697,0.06207562437925377
37010698,0.05203148454880631
37010699,0.05231517358296853
36982533,0.13923428628292756
36982534,0.4639617257926046
36982535,0.31596401674119684
36982536,0.314721849245879
36982537,0.23694997862919076
36982538,0.13924898344882067
36982539,0.13869872615076978
36982540,0.2381173290045739
36982541,0.13921042230363717
36982542,0.46396955182836663
36984973,0.8045770739363323
36984974,0.8045342755494652
36984975,0.623765089609222
37008083,0.23182913660798185
37008084,0.40505993897156795
37008085,0.18973445122608537
37008086,0.2909733599652168
37008087,0.17637534818678097
37008088,0.2401362028664167
37008089,0.053437582559645196
37008090,0.05344758486551401
37008091,0.05337218634161069
36996696,0.2725078529941619
36996697,0.27232272704495075
36996698,0.23691476229191305
36996699,0.34203621892789327
36996700,0.24603113187833275
36996701,0.31045216480634386
36996702,0.18095662280226854
36996703,0.11732779786698992
36974979,0.09257798063167307
36974980,0.09255483692635663
36991779,0.1526868726801938
36991780,0.1677418857641557
36991781,0.1245414047665117
36991782,0.11579426374664546
36991783,0.14676268273721438
36991784,0.10030961251355976
36991785,0.1957545961870275
36991786,0.15848302964569677
36981550,0.21859737082352307
36981551,0.34025566629269366
36981552,0.11368116090581362
36981553,0.11977843894908931
36981554,0.2732441608536572
36981555,0.12944772952450806
36981556,0.11799397404232871
36981557,0.1663449861486759
36981558,0.23184796966930865
37016149,0.43943685286543044
37016150,0.4395297781640719
37016151,0.4979584765823195
37013076,0.6207424824616095
37013077,1.1988825572716333
37013078,1.0019098418183294
37013079,0.31275003719311073
37013080,0.619321449012814
37013081,1.2536158186786879
37013082,1.054036189644592
37013083,0.3115412984240255
37013084,0.6461881778474977
37008698,1.0103087963899984
37008699,0.6071967926588502
37008700,0.38116410948985313
37008701,0.5118921191500385
37008702,1.1393616332456573
37008703,0.5119850184001977
37008704,1.288040594656975
37008705,1.0117063582651364
36974389,0.09508544162905687
36974390,0.10757916242747059
37014267,0.21089907960870813
37014268,0.2507213194516978
37014269,0.09008042462833031
37014270,0.09806705688699086
37014271,0.2508470417164276
37014272,0.20205535066068867
37014273,0.2645880450662181
37009599,0.1891798386019324
37009600,0.18939652060828222
37009601,0.18947091518595857
37009602,0.18985339017344502
37009603,0.3023904922511549
37009604,0.18953877278609288
37009605,0.18948946894443305
37009606,0.3033296033471172
37009607,0.30423268750772814
37009608,0.30399357233503693
36999326,0.9943052175830677
36999327,0.8363080205698679
36996073,0.06986868051417579
36996074,0.07174123393466576
36996075,0.22684538845115573
36996076,0.0698406587597605
36996077,0.07216575477604494
36996078,0.22670791946993712
36996079,0.0699489948366848
36989744,0.4418906094377268
36989745,0.4067306390132411
36989746,0.4206405510949656
36989747,0.4292628591104233
36989748,0.40237845335553907
36989749,0.40916818836669366
36989750,1.0822673453590634
36989751,1.0824770659351448
36989752,0.48954440249869363
36989753,0.4047982271160757
36983669,0.23011851916841983
36983670,0.12697082758577552
36983671,0.2588962666632054
36983672,0.11801804495454112
36983673,0.1027065312532011
36983674,0.3381568599551634
36983675,0.10400885126284021
36983676,0.12330855428925784
37011180,0.12284018929238211
37011181,0.1297928286824268
37011182,0.14651800468529858
37011183,0.13639006482067056
37011184,0.12217884224024728
37011185,0.11234300605321215
37011186,0.1296730742574451
37011187,0.132814379837274
37011188,0.10106405063467133
37011189,0.09342301163719906
36978937,0.11261017616487098
36978938,0.06787780813991405
36978939,0.1493107422757172
36978940,0.43868366128453556
36978941,0.43497487414899844
36978942,0.0884307842919001
36978943,0.1345207581372547
36978944,0.3215443479924954
36978945,0.11336339727542351
36978946,0.11917564422845445
36981719,0.27756838128717526
36981720,0.38066717853766124
36981721,0.1595569342372131
36981722,0.23624311791900424
36981723,0.14734742241943344
36981724,0.3276206871468533
36981725,0.15764914745892467
36981726,0.1142268162904474
36981727,0.27358211417167916
36981728,0.11837749602536711
36975564,1.0238902892066468
36975565,0.8044519605116818
36975566,0.12274027732877822
36975567,0.12251536174059233
36975568,0.08989411143374904
36975569,0.2861711837329885
36975570,0.2833820516569778
36975571,0.24508868145815532
37016184,0.26063179501625594
37016185,0.099698019415053
37016186,0.2606565884578742
37016187,0.3946604585740375
37018483,1.3735018921339368
37018484,1.3734491098282264
37018485,0.7798826281671813
37018486,0.8570155382504758
37018487,0.8568770275686214
37018488,0.8566954933445649
37006531,0.25261950629700464
37006532,0.25261954755346994
37006533,0.04263922939594117
37011426,0.04949361603534789
37011427,0.029056240177690398
37011428,0.064283710439134
37011429,0.04934459330449128
37011430,0.030259465139561063
37011431,0.049079056165735234
37011432,0.02972023746262613
36988935,0.08342711752509294
36988936,0.15189888265131082
36988937,0.2158667218655023
36988938,0.7376669509950216
36988939,0.16538108669246587
36988940,0.09420327247712958
36988941,0.12065441656640057
36988942,0.12356852131660426
36988943,0.21715581686925692
37016398,0.2615891896259878
37016399,0.2726919598847743
37016400,0.1545517830732693
37016401,0.3388103207619225
37016402,0.03537839912975602
37016403,0.04713691774644186
37016404,0.11987502182789453
36974877,0.33123196563481017
36974878,0.3515313281484674
37012819,0.7890834990834656
37012820,0.7068410508576638
37012821,0.7692472479502898
37012822,0.6836238521126419
37012823,0.9998155524027776
37012824,0.7692678682541124
37012825,0.6582338679605291
37012826,0.7694558530794423
37012827,1.01507327038335
37009403,0.9611235459548614
37009404,0.12083680322356047
37009405,0.32822895688751474
37009406,0.7311904816095397
37009407,0.9201004861045945
37009408,0.09242407828920947
37009409,0.9051936585845747
37009410,1.186313775552162
36974459,0.14685381975083042
36974460,0.14771673007919522
36974461,0.2541652765885883
36974462,0.6169945100147779
36974463,0.11031586976803122
36974464,0.11183287362979161
36974465,0.16225935415915232
36974466,0.10947889355801696
36974467,0.09421456335939453
37016176,0.031770629369123365
37016177,0.02709857766575992
37011942,0.06584661438735681
37011943,0.33392602519143344
37011944,0.29914322927972914
37011945,0.22720037678761193
37014802,0.05006931295141822
