,rmsd
36975451,0.21346014610104874
36975452,0.2765017245945187
36975453,0.20402733482343335
36975454,0.17048476044542119
36975455,0.2440195378620606
36975456,0.13856627503734975
36991787,0.06937400151896143
36991788,0.6024516673139383
36991789,0.05577760323485045
36991790,0.06726790269188013
36991791,0.23638455372342065
36991792,0.16296903068339028
36991793,0.9210883336125569
36991794,0.11700301521561733
36991795,0.053358800279726684
36991796,0.06804885034541716
36987706,0.09821197506101637
36987707,0.0991715729613704
36987708,0.09743868746974278
36984387,0.21623276777889305
36984388,0.215698118584575
36984389,0.15905215707483497
36973916,0.06238829186438236
36973917,0.06299699976675967
36973918,0.11543691280945673
36973919,0.1174574733248169
37014846,0.4006161358346657
37014847,0.5637494397863748
37014848,0.89248733203858
37014849,0.3773951237570761
37014850,0.46910749226267195
37014851,0.8832124523258563
37014852,0.4668358003178837
37014853,0.6548243924214011
36991461,0.3842062512518238
36991462,0.33001026966476704
36991463,0.18132643113099978
36991464,0.1529448242730677
36991465,0.0794398686013215
36991466,0.327507081769252
36991467,0.3533975693073439
36991468,0.34882454285123426
36991469,0.18742193751252534
36991470,0.1898165314089338
36969580,0.07350815491338342
36969581,0.05491443456951913
37016997,0.047389737519224706
37015999,0.1527615835428669
37016000,0.14915461912251304
36972482,0.36833205402074065
36972483,0.26304553160267025
36972484,0.2564931297416646
36972485,0.08784554975353709
36972486,0.2586068518764757
36972487,0.08786045776956825
36972488,0.08789024734247346
36972489,0.08773125192000715
36973802,0.10281600566581865
36973803,0.12169271242320392
37016100,0.11869159276271378
37016101,0.12225346897930701
37016102,0.09941620634788917
36974444,0.23712778422000438
36968620,0.19660523530755603
36968621,0.2196868168735206
37013461,0.6188842513857287
37013462,0.6512527899036819
37013463,0.5890227058338923
37013464,0.6101379424263583
37013465,1.071446418586625
37013466,1.0868900861300972
37013467,1.068467168024443
37013468,1.0565670367263111
37014214,0.2495295933213941
37014215,0.26512405092986385
37014216,0.050828608738944556
37014217,0.18940511199478
37008313,0.35333006492753977
37008314,0.5275010015967848
37008315,0.3431083145611048
37008316,0.26329778294469963
37008317,0.26586457831489474
37008318,0.34882708395957496
37008319,0.3740927690052633
37010696,0.06351545609440157
37010697,0.06310446168305468
37010698,0.05542213565667213
37010699,0.055100323724423104
36982533,0.1448145814170303
36982534,0.5050204880322132
36982535,0.4022188821088201
36982536,0.42756322087083615
36982537,0.23868727556303432
36982538,0.1435345920152375
36982539,0.15447465494558635
36982540,0.24767181760906906
36982541,0.13710555406837935
36982542,0.509278829475329
36984973,0.29782487461253543
36984974,0.3114709436299398
36984975,0.06118121600746963
37008083,0.19710394698634
37008084,0.3061804711190413
37008085,0.14764024677015528
37008086,0.2820012544721273
37008087,0.1748828068563863
37008088,0.16734222353221154
37008089,0.048968033997614686
37008090,0.04888345968114736
37008091,0.04887167752945874
36996696,0.2130921440564134
36996697,0.21908135308776627
36996698,0.2526678850136481
36996699,0.24849714296542813
36996700,0.17848106259744928
