,tfd
36975451,0.3124243598954645
36975452,0.07789996631677702
36975453,0.12439985028940392
36975454,0.1260936464712829
36975455,0.2578990157293567
36975456,0.3037239844053787
36991787,0.019142965910288724
36991788,0.013772284602761451
36991789,0.02494537736817262
36991790,0.063532109476658
36991791,0.01482859349900318
36991792,0.014231148069692645
36991793,0.010782984721154326
36991794,0.012799250702443515
36991795,0.014389426803124664
36991796,0.01782328153666311
36987706,0.09599799936186888
36987707,0.07093596833896905
36987708,0.06947494404517335
36984387,0.06237921727683562
36984388,0.06303401089600408
36984389,0.02707127686496732
36973916,0.04717422153483555
36973917,0.05219854250459056
36973918,0.005654408710230137
36973919,0.0053560558720339236
37014846,0.09815869043618017
37014847,0.1399874482165767
37014848,0.06109780631896347
37014849,0.2602865834671277
37014850,0.27211760683456165
37014851,0.05666729329641993
37014852,0.04977588389836061
37014853,0.08267335087997471
36991461,0.15590171160177038
36991462,0.24201133012155118
36991463,0.26417849854296216
36991464,0.2662832924211412
36991465,0.15384856495575885
36991466,0.2287038800132188
36991467,0.165814071565128
36991468,0.3351606604524557
36991469,0.2604576453705922
36991470,0.38468927631485
36969580,0.010716866882174481
36969581,0.011001461200010308
37016997,0.028566967543539185
37015999,0.015670865118625688
37016000,0.04212407836818755
36972482,0.09673884291685204
36972483,0.047435679828836556
36972484,0.047707893110137074
36972485,0.00013948326957698569
36972486,0.047267261352783106
36972487,0.00011402981107414436
36972488,0.0005075010261525822
36972489,0.00017609268967933484
36973802,0.022011256542337952
36973803,0.00830170999114821
37016100,0.1872942965645051
37016101,0.173984075317701
37016102,0.17517214840582568
36974444,0.6327959877120779
36968620,0.0025673324904203266
36968621,0.000256672455807583
37013461,0.08070417746822293
37013462,0.22520666637743153
37013463,0.21619086120408687
37013464,0.15692879974720927
37013465,0.30242468244457527
37013466,0.2848640209390994
37013467,0.2884017019749815
37013468,0.3027334855853986
37014214,0.5252048196235892
37014215,0.5065646078907632
37014216,0.20041882182829554
37014217,0.3440928712869777
37008313,0.17925523857737433
37008314,0.41600022266534986
37008315,0.181110215056602
37008316,0.6680744986853439
37008317,0.6620278623447088
37008318,0.18498619663461507
37008319,0.1804890863354744
37010696,0.04597714847709959
37010697,0.0489598783679416
37010698,0.03628210074914612
37010699,0.047626464100565334
36982533,0.07470708401913792
36982534,0.11300009982213693
36982535,0.10350419987274363
36982536,0.07200632802962283
36982537,0.432015452090356
36982538,0.059848804370982625
36982539,0.07056700967405659
36982540,0.14891955638219492
36982541,0.0750874710017565
36982542,0.11221830203046289
36984973,0.07030844854689296
36984974,0.06885810663080452
36984975,0.17366378984975275
37008083,0.03739905050563992
37008084,0.013952488733635198
37008085,0.04807083420900107
37008086,0.07101493900160923
37008087,0.02521469028151827
37008088,0.04024967552676664
37008089,0.033355939608663975
37008090,0.033393486993614406
37008091,0.03341640319562098
36996696,0.09736772178498171
36996697,0.04862015866151511
36996698,0.06155411072376572
36996699,0.16266195650212267
36996700,0.07556662456511799
36996701,0.1684880091033896
36996702,0.09950625557295532
36996703,0.10421817072519206
36974979,0.15682124972739853
36974980,0.1512045003082292
36991779,0.19394659362028643
36991780,0.14774835595391866
36991781,0.13322719066111752
36991782,0.20136248479146296
36991783,0.2082033861679961
36991784,0.24930958697075847
36991785,0.16295249555012142
36991786,0.1198212252548575
36981550,0.054024461147594634
36981551,0.07798047593453185
36981552,0.09377345370723345
36981553,0.08338077633193103
36981554,0.11427127230790345
36981555,0.04656224268658137
36981556,0.13347712675953033
36981557,0.07740123944879299
36981558,0.09898868255928674
37016149,0.03263426343203323
37016150,0.03112966164682235
37016151,0.0523915703978012
37013076,0.08427037332994548
37013077,0.011643392470932724
37013078,0.006194434281053372
37013079,0.16532767491133837
37013080,0.07871583126267034
37013081,0.11144127153477143
37013082,0.0067457164033302075
37013083,0.17849468036667662
37013084,0.011711286739690008
37008698,0.012070540801601498
37008699,0.0938324947095189
37008700,0.26225046220691584
37008701,0.24297169730182747
37008702,0.10091150283783548
37008703,0.23855005104694965
37008704,0.10219404299279848
37008705,0.011889892291121012
36974389,0.09866340417779977
36974390,0.07305450056071656
37014267,0.10847865096675129
37014268,0.056766379242294544
37014269,0.04371791907740966
37014270,0.2192629275373799
37014271,0.05678942740270447
37014272,0.1362529291668674
37014273,0.2340430126990309
37009599,0.32342200894573314
37009600,0.2509719614264744
37009601,0.24973774561472606
37009602,0.32309809084185387
37009603,0.4244702187820467
37009604,0.3232466780583984
37009605,0.32418221983816614
37009606,0.42402385591434977
37009607,0.4238646891551771
37009608,0.42499268767685194
36999326,0.08904467586013742
36999327,0.09414036594622668
36996073,0.026526862884283974
36996074,0.05609478065200558
36996075,0.15541687659660364
36996076,0.08537311064414205
36996077,0.05323770116281217
36996078,0.16910925785165787
36996079,0.029755673681605543
36989744,0.14208575690782788
36989745,0.02980502783207169
36989746,0.01101120932470587
36989747,0.0340408606518778
36989748,0.02327518330033495
36989749,0.1374122838040447
36989750,0.06300232786183807
36989751,0.06233707174768967
36989752,0.07097590694205612
36989753,0.03045356131324798
36983669,0.08955089390972085
36983670,0.14427198634656294
36983671,0.0744587540101583
36983672,0.1520294273911102
36983673,0.08991608563192148
36983674,0.07459051543126043
36983675,0.05580212369812929
36983676,0.01016341887750717
37011180,0.050134466558795936
37011181,0.02399237391718184
37011182,0.01693657971071846
37011183,0.06397194437302499
37011184,0.12294457883876603
37011185,0.019585078249318596
37011186,0.02046030984347413
37011187,0.006208830344768599
37011188,0.01071648164981627
37011189,0.009553813599511869
36978937,0.22679273333181638
36978938,0.08929832017988536
36978939,0.5871234756437924
36978940,0.25509811156962003
36978941,0.10706764055063307
36978942,0.09459226951586806
36978943,0.09993037950733456
36978944,0.25890058832694895
36978945,0.22692862007828804
36978946,0.09512165984387486
36981719,0.19362295382605166
