,rmsd
36975451,0.2197487385823781
36975452,0.2619142466868891
36975453,0.23701456242432595
36975454,0.2088090674679306
36975455,0.20778532882115314
36975456,0.43727604899786593
36991787,0.09389422112720157
36991788,0.9471137703608877
36991789,0.08593245227448396
36991790,0.06712060146616305
36991791,0.2909726469177793
36991792,0.3492864572865304
36991793,0.9398596722273074
36991794,0.3520748867063547
36991795,0.08595066340460657
36991796,0.09417201411483021
36987706,0.1053682598505088
36987707,0.10487351830000516
36987708,0.10542818049846149
36984387,0.2070455151264277
36984388,0.20843228595951274
36984389,0.27719224483283333
36973916,0.1532682319426043
36973917,0.15309522356596955
36973918,0.1248626222492859
36973919,0.12409378217598001
37014846,0.4018261170560856
37014847,0.42552366900009
37014848,0.8917176733913936
37014849,0.40219183703534034
37014850,0.4369081238050704
37014851,0.8920719273365528
37014852,0.4633442763354814
37014853,0.669740393115855
36991461,0.30131511649283776
36991462,0.25360789123614197
36991463,0.3521469012554078
36991464,0.36950733589918117
36991465,0.40094545409703236
36991466,0.2535959106105721
36991467,0.2670856612305591
36991468,0.2773334275355665
36991469,0.3529019849822792
36991470,0.3533674975510525
36969580,0.07302026961635417
36969581,0.07300178236202995
37016997,0.06279213044939408
37015999,0.14137685348359905
37016000,0.14249019931383866
36972482,0.38402546163037754
36972483,0.24059827406421022
36972484,0.24080867829539956
36972485,0.35795078184261137
36972486,0.2407444393352737
36972487,0.35795987326829953
36972488,0.35760514845747043
36972489,0.3382910393519349
36973802,0.10792174518859678
36973803,0.17594418248312516
37016100,0.1965002667758912
37016101,0.14274935289607285
37016102,0.0864691138845423
36974444,0.1156397592471566
36968620,0.2235772364374102
36968621,0.18334887614900283
37014214,0.26377535404248137
37014215,0.26362759949423353
37014216,0.06991673273356142
37014217,0.2121555695989836
37008313,0.3695955650422673
37008314,0.5430654579063104
37008315,0.3696216611842095
37008316,0.23826482198380514
37008317,0.23828802515953115
37008318,0.3696374648434068
37008319,0.3696109683891049
37010696,0.06205611050716162
37010697,0.06215359676618333
37010698,0.05370684342840668
37010699,0.0539822704407545
36982533,0.13928648058896934
36982534,0.44075282312165615
36982535,0.25721368743357875
36982536,0.2559222421623476
36982537,0.2331299322224344
36982538,0.1393209487668674
36982539,0.1389599078495487
36982540,0.23428768798603947
36982541,0.13924069001552752
36982542,0.4407618097835458
36984973,0.21960631354281676
36984974,0.21996583846299095
36984975,0.30351724563244264
37008083,0.21411042209914635
37008084,0.41091347064322964
37008085,0.16194778810257876
37008086,0.2642071219340963
37008087,0.1579318258280002
37008088,0.22233849919577162
37008089,0.0710895437797428
37008090,0.07096662891759462
37008091,0.07093588794539482
36996696,0.26549479446505936
36996697,0.26536224211856213
36996698,0.23808197645519535
36996699,0.31325669663190125
36996700,0.22751689556966942
36996701,0.28119496641465536
36996702,0.1808166765127
36996703,0.1308341730944322
36974979,0.09615428105625158
36974980,0.09612647077959496
36991779,0.137885387450127
36991780,0.16810189884927035
36991781,0.11259283356741319
36991782,0.11317979630013128
36991783,0.1317727205812354
36991784,0.07629871952526994
36991785,0.15621376131416514
36991786,0.1279645409127354
36981550,0.19999094175533427
36981551,0.32079937724013863
36981552,0.10779349639833226
36981553,0.09760727287321841
36981554,0.2437686708004547
36981555,0.11650879945504466
36981556,0.10641257108212539
36981557,0.14685356552520046
36981558,0.23781614918480584
37016149,0.274196333037124
37016150,0.27512761866965096
37016151,0.3542855090704353
36974389,0.10633066273303307
36974390,0.11474741452217231
37014267,0.27279314876208643
37014268,0.2470697058782323
37014269,0.08607776538207276
37014270,0.10596149534176062
37014271,0.24721418465002384
37014272,0.19080948054599853
37014273,0.2832978330403232
37009599,0.215742948563679
37009600,0.21576561057230237
37009601,0.21602068733824512
37009602,0.21656654937269534
37009603,0.3301890828808848
37009604,0.21600661864263165
37009605,0.2160101435741248
37009606,0.33113528131291664
37009607,0.332043378903094
37009608,0.33180114270802874
36999326,0.03768983739220119
36999327,0.04687816714861781
36996073,0.06719014439592803
36996074,0.0631246282813212
36996075,0.23290528085030537
36996076,0.06704869569499863
36996077,0.06327999162759512
36996078,0.23256163708762242
36996079,0.06727422156067847
36989744,0.3802644906705981
36989745,0.38107673319390145
36989746,0.39973805961296593
36989747,0.3960520606349763
36989748,0.37782457156973676
36989749,0.39113440837519065
36989750,0.3993726543576245
36989751,0.3989230671237659
36989752,0.4703361955979256
36989753,0.3783568909965068
36983669,0.22560671660323445
36983670,0.11568656047378155
36983671,0.2632311330400118
36983672,0.10502258855895961
36983673,0.10301401400548482
