,rmsd
36975451,1.2446324305618255
36975452,0.4343374452769632
36975453,0.0
36975454,0.0
36975455,0.0
36975456,0.9990526078371963
36991787,0.3063722773684096
36991788,0.4832715442636097
36991789,0.16418337282698917
36991790,0.1870447598648501
36991791,0.6507033370893744
36991792,0.34211495361334193
36991793,0.4166375617755651
36991794,0.28819207716084194
36991795,0.16365508073577498
36991796,0.3196971460382419
36987706,0.09106105391443492
36987707,0.091576201335609
36987708,0.09123182258021609
36984387,0.7362661264470932
36984388,0.7754364948288293
36984389,1.2489663201904133
36973916,0.653511444190898
36973917,0.6512179646423257
36973918,0.38565463023867963
36973919,0.3842597597313693
37014846,0.7172778501885824
37014847,0.681633990890244
37014848,0.7023754205221281
37014849,0.7184541736545594
37014850,0.7701161873653332
37014851,0.7074401597793964
37014852,0.8827696546232608
37014853,0.6467537874246453
36991461,1.2949432507118777
36991462,1.3875461981538628
36991463,0.394991150007837
36991464,0.4064132420584183
36991465,0.44357990770507083
36991466,1.3540580529058583
36991467,0.0
36991468,1.3187245444441744
36991469,0.3953291600257505
36991470,0.3958586909496736
36969580,0.27767560496642646
36969581,0.24364816348933313
37016997,0.06083046114509567
37015999,0.7244375297227992
37016000,0.715877713174821
36972482,0.4441045188331001
36972483,0.4538584546986973
36972484,0.4333962659261676
36972485,0.2814804881948538
36972486,0.4646415195210638
36972487,0.29028595564161563
36972488,0.2922774426548491
36972489,0.245273256368858
36973802,0.48806319112328383
36973803,0.4892114927119539
37016100,0.6308675030492773
37016101,0.6583581237859598
37016102,0.6315527850672739
36974444,0.23716592696650152
36968620,0.7878478294124619
36968621,0.20137352312762863
37013461,1.1880841147712662
37013462,1.0359748236516275
37013463,1.1740130257126498
37013464,1.17483015220389
37013465,0.5799525464133269
37013466,0.5706378820224934
37013467,0.5760833846415407
37013468,0.572690048824632
37014214,0.29957856544145395
37014215,0.2881278361802931
37014216,0.11858093926426604
37014217,0.32350805065752863
37008313,0.23579448390084592
37008314,1.745436229267131
37008315,0.21724200036477886
37008316,0.15115723892759847
37008317,0.14734774927077296
37008318,0.210496762685263
37008319,0.21521121481052183
37010696,0.2143974051104522
37010697,0.2135578370764003
37010698,0.31157492803101744
37010699,0.31193883738589545
36982533,0.6286802110719593
36982534,0.47619368256750855
36982535,0.0
36982536,0.0
36982537,0.5812228822272557
36982538,1.0792026579867362
36982539,1.0987935988536626
36982540,0.5830114529787261
36982541,1.0886899410459183
36982542,0.4160983425889592
36984973,0.933136434324891
36984974,0.6541934452417432
36984975,0.41456850089903546
37008083,0.5027848148237845
37008084,0.6549103621569653
37008085,0.5650184593710591
37008086,0.579457568293479
37008087,0.48805500799955925
37008088,0.5027051802372787
37008089,0.5383541996782055
37008090,0.5589884807382084
37008091,0.5687255098147478
36996696,0.5940287583162854
36996697,0.5189705104943246
36996698,1.2126706831457605
36996699,0.7284703621663874
36996700,0.8332926156538547
36996701,0.6188056175993162
36996702,0.477051449073116
36996703,0.4620253088687964
36974979,0.2339746154146927
36974980,0.23603943265471003
36991779,0.4360984771709262
36991780,0.6189815797187257
36991781,0.7401038683531508
36991782,0.6677140489974549
36991783,0.5218630673768264
36991784,0.3398237341763208
36991785,0.6384115520187805
36991786,0.7680216211747511
36981550,0.576431845536266
36981551,0.9384924639186335
36981552,0.35350714315956244
36981553,0.43789039367781424
36981554,0.9234460991887556
36981555,0.5760638592835142
36981556,0.6659580152519844
36981557,0.5778455451267016
36981558,0.36640851603229
37016149,0.5531226769444867
37016150,0.554726634752275
37016151,0.5464835864760295
37013076,0.6238425150448654
37013077,0.903408972454613
37013078,0.4201777528339045
37013079,0.712459116713204
37013080,0.6266010361150852
37013081,0.7869929834831556
37013082,0.4390715328451503
37013083,0.6971131010689178
37013084,0.6469992446993703
37008698,0.0
37008699,0.6181012725099713
37008700,0.8028016690815105
37008701,0.6744430988035615
37008702,0.8035930212769014
37008703,0.7189472807413962
